,City,Lat,Long,Max temp,Humidity,Wind Speed,Cloudiness,Country,Date
351,badou,7.5833,0.6,81.88,65,4.16,100,TG,1616605263
352,santa cruz,-17.8,-63.1667,82.4,74,14.97,75,BO,1616605265
353,zhaozhou,45.6833,125.3167,38.25,68,8.63,48,CN,1616605266
354,tigre,-34.426,-58.5796,80.6,61,10.36,40,AR,1616605267
355,matara,5.9485,80.5353,77.09,89,6.4,95,LK,1616605269
356,fuxin,42.0156,121.6589,48.63,25,9.75,14,CN,1616605270
357,panagar,23.3,79.9833,80.92,23,3.51,2,IN,1616605271
358,san vicente,-26.6167,-54.1333,89.96,35,4.47,48,AR,1616605273
359,belaya gora,68.5333,146.4167,-22.94,99,5.14,100,RU,1616605274
360,ende,-8.8432,121.6623,77.83,87,1.28,55,ID,1616605275
361,kirishi,59.4471,32.0205,44.01,14,10.67,57,RU,1616605277
362,lorengau,-2.0226,147.2712,81.18,77,5.32,100,PG,1616605278
363,gazli,40.1333,63.45,70.68,33,14.29,100,UZ,1616605279
364,barentu,15.1139,37.5928,91.65,10,11.01,5,ER,1616605281
365,cherskiy,68.75,161.3,-1.1,97,4.81,100,RU,1616605282
366,roald,62.5833,6.1333,39.2,87,24.16,75,NO,1616605283
367,chake chake,-5.2459,39.7666,80.91,71,7.02,25,TZ,1616605285
368,beroroha,-21.6667,45.1667,75.83,82,2.91,42,MG,1616605286
369,klaksvik,62.2266,-6.589,41.0,87,10.36,20,FO,1616605287
